original_outgoing,original_incoming,dummy_outgoing,dummy_incoming,total_outgoing,total_incoming,total_original,total_padded
604,2861,85,72,689,2933,3465,3622
603,2861,42,47,645,2908,3464,3553
605,2872,99,24,704,2896,3477,3600
604,2860,17,57,621,2917,3464,3538
603,2859,2,53,605,2912,3462,3517
604,2860,75,93,679,2953,3464,3632
603,2861,86,99,689,2960,3464,3649
603,2861,15,55,618,2916,3464,3534
603,2861,97,90,700,2951,3464,3651
604,2860,66,5,670,2865,3464,3535
603,2859,84,79,687,2938,3462,3625
606,2860,12,12,618,2872,3466,3490
602,2858,21,35,623,2893,3460,3516
604,2860,58,1,662,2861,3464,3523
604,2861,16,43,620,2904,3465,3524
500,983,77,10,577,993,1483,1570
603,2861,69,36,672,2897,3464,3569
607,2870,26,76,633,2946,3477,3579
604,2860,94,69,698,2929,3464,3627
604,2860,94,45,698,2905,3464,3603
603,2861,42,8,645,2869,3464,3514
603,2861,39,79,642,2940,3464,3582
603,2859,54,99,657,2958,3462,3615
603,2861,87,31,690,2892,3464,3582
604,2860,70,84,674,2944,3464,3618
606,2860,28,75,634,2935,3466,3569
604,2860,41,23,645,2883,3464,3528
605,2860,76,7,681,2867,3465,3548
604,2860,66,66,670,2926,3464,3596
603,2861,44,21,647,2882,3464,3529
604,2860,5,77,609,2937,3464,3546
605,2860,98,33,703,2893,3465,3596
609,2890,83,55,692,2945,3499,3637
604,2860,59,48,663,2908,3464,3571
603,2861,97,5,700,2866,3464,3566
608,2878,40,3,648,2881,3486,3529
604,2860,66,67,670,2927,3464,3597
606,2872,30,19,636,2891,3478,3527
602,2860,88,5,690,2865,3462,3555
603,2866,46,11,649,2877,3469,3526
604,2860,30,84,634,2944,3464,3578
604,2860,45,21,649,2881,3464,3530
604,2860,57,31,661,2891,3464,3552
604,2860,68,52,672,2912,3464,3584
605,2860,28,25,633,2885,3465,3518
604,2860,21,87,625,2947,3464,3572
605,2859,70,49,675,2908,3464,3583
602,2860,88,69,690,2929,3462,3619
605,2860,34,19,639,2879,3465,3518
606,2860,46,19,652,2879,3466,3531
608,2860,37,79,645,2939,3468,3584
604,2860,37,69,641,2929,3464,3570
604,2872,58,3,662,2875,3476,3537
606,2860,78,26,684,2886,3466,3570
605,2860,54,44,659,2904,3465,3563
605,2873,81,63,686,2936,3478,3622
605,2873,96,72,701,2945,3478,3646
603,2861,36,46,639,2907,3464,3546
603,2861,75,60,678,2921,3464,3599
650,2899,33,61,683,2960,3549,3643
604,2860,7,54,611,2914,3464,3525
604,2861,54,53,658,2914,3465,3572
606,2873,97,44,703,2917,3479,3620
605,2859,11,62,616,2921,3464,3537
608,2860,74,40,682,2900,3468,3582
659,2921,85,67,744,2988,3580,3732
610,2860,20,61,630,2921,3470,3551
603,2861,21,67,624,2928,3464,3552
603,2866,27,30,630,2896,3469,3526
636,2880,52,78,688,2958,3516,3646
604,2860,94,27,698,2887,3464,3585
608,2860,24,52,632,2912,3468,3544
603,2861,4,74,607,2935,3464,3542
604,2861,58,39,662,2900,3465,3562
603,2861,88,4,691,2865,3464,3556
